time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-11-25T14:06:42.980Z,19.3295001983643,-155.199493408203,5.92000007629395,3.12,ml,48,109,,0.189999998,hv,hv72811222,2021-11-25T16:59:01.507Z,"13 km SSE of Volcano, Hawaii",earthquake,0.38,0.540000021,3.38,35,automatic,hv,hv
2021-11-25T14:03:39.350Z,33.584,-116.8068333,8.19,1.38,ml,45,30,0.03696,0.18,ci,ci39870247,2021-11-25T14:14:25.900Z,"13km WNW of Anza, CA",earthquake,0.2,0.48,0.157,27,automatic,ci,ci
2021-11-25T13:55:55.530Z,19.5243339538574,-155.440170288086,22.3299999237061,1.75,md,36,52,,0.129999995,hv,hv72811212,2021-11-25T14:01:25.500Z,"23 km WNW of Volcano, Hawaii",earthquake,0.46,0.850000024,0.0199999996,5,automatic,hv,hv
2021-11-25T13:55:05.630Z,37.3795,-118.4111667,14.75,1.53,md,13,316,0.3933,0.03,nc,nc73657615,2021-11-25T17:47:12.754Z,"1km SSE of Dixon Lane-Meadow Creek, CA",earthquake,0.82,2.66,0.264,13,reviewed,nc,nc
2021-11-25T13:53:17.100Z,35.9705009,-120.5285034,7.12,0.72,md,15,87,0.02742,0.05,nc,nc73657610,2021-11-25T14:31:11.609Z,"12km NW of Parkfield, CA",earthquake,0.45,0.61,0.15,5,automatic,nc,nc
2021-11-25T13:47:53.840Z,38.7976685,-122.748497,2.04,0.9,md,14,177,0.009247,0.02,nc,nc73657605,2021-11-25T14:19:12.231Z,"2km NNE of The Geysers, CA",earthquake,0.42,0.84,0.37,2,automatic,nc,nc
2021-11-25T13:45:29.210Z,35.6851667,-117.4655,4.87,0.91,ml,11,177,0.09849,0.16,ci,ci39870239,2021-11-25T13:48:59.444Z,"11km SSW of Searles Valley, CA",earthquake,0.65,0.86,0.046,9,automatic,ci,ci
2021-11-25T13:44:25.614Z,-10.9818,166.2622,58.38,4.7,mb,,76,4.532,1.04,us,us7000fx0g,2021-11-25T17:55:08.487Z,"58 km ESE of Lata, Solomon Islands",earthquake,9.1,6.8,0.11,26,reviewed,us,us
2021-11-25T13:42:34.640Z,38.8286667,-122.8560028,2.28,1.41,md,28,62,0.00131,0.04,nc,nc73657600,2021-11-25T15:47:11.013Z,"10km WNW of The Geysers, CA",earthquake,0.21,0.38,0.16,7,automatic,nc,nc
2021-11-25T13:40:04.551Z,38.1356,-117.9728,13.1,0.4,ml,8,140.79,0.067,0.0589,nn,nn00828810,2021-11-25T13:44:31.362Z,"30 km SSE of Mina, Nevada",earthquake,,1.2,0.25,4,automatic,nn,nn
2021-11-25T13:38:51.380Z,38.1246,-117.9775,11.7,1,ml,13,140.27,0.069,0.1869,nn,nn00828808,2021-11-25T13:42:43.755Z,"31 km SSE of Mina, Nevada",earthquake,,0.7,0.34,8,automatic,nn,nn
2021-11-25T13:28:52.440Z,38.8250008,-122.7648315,1.99,1,md,20,126,0.006752,0.02,nc,nc73657590,2021-11-25T14:55:10.737Z,"4km W of Cobb, CA",earthquake,0.26,0.39,0.06,4,automatic,nc,nc
2021-11-25T13:25:49.370Z,46.6458333,-113.3911667,0.95,1.8,ml,22,59,0.212,0.11,mb,mb80531724,2021-11-25T14:46:37.020Z,"18 km W of Drummond, Montana",earthquake,0.25,1.07,0.137,7,reviewed,mb,mb
2021-11-25T13:22:47.230Z,19.2556667327881,-155.412673950195,32.4599990844727,2.09,ml,45,139,,0.119999997,hv,hv72811162,2021-11-25T13:28:17.300Z,"9 km NE of Pāhala, Hawaii",earthquake,0.57,0.649999976,0.21,3,automatic,hv,hv
2021-11-25T13:16:14.640Z,37.9087,-118.0107,16,0.5,ml,9,242.88,0.253,0.2063,nn,nn00828807,2021-11-25T13:20:32.109Z,"27 km N of Dyer, Nevada",earthquake,,2.6,0.46,4,automatic,nn,nn
2021-11-25T13:13:39.972Z,38.1413,-117.9661,12.2,0.3,ml,9,131.37,0.07,0.0975,nn,nn00828806,2021-11-25T13:17:52.014Z,"30 km SSE of Mina, Nevada",earthquake,,1,0.41,6,automatic,nn,nn
2021-11-25T13:11:20.180Z,37.4348333,-118.636,6.32,0.8,md,6,156,0.1,0.02,nc,nc73657585,2021-11-25T17:54:11.793Z,"4km WNW of Round Valley, CA",earthquake,1.38,3.15,0.225,6,reviewed,nc,nc
2021-11-25T13:03:01.770Z,19.175500869751,-155.463500976562,33.4000015258789,1.78999996,md,42,117,,0.100000001,hv,hv72811142,2021-11-25T13:06:07.690Z,"Island of Hawaii, Hawaii",earthquake,0.51,0.800000012,0.959999979,8,automatic,hv,hv
2021-11-25T13:02:58.660Z,38.1246,-117.9799,10.4,0.8,ml,13,141.01,0.067,0.2377,nn,nn00828802,2021-11-25T13:06:13.329Z,"31 km SSE of Mina, Nevada",earthquake,,0.7,0.39,6,automatic,nn,nn
2021-11-25T12:56:46.058Z,38.1419,-117.9665,11.9,0.6,ml,8,131.34,0.07,0.0779,nn,nn00828801,2021-11-25T13:00:34.112Z,"30 km SSE of Mina, Nevada",earthquake,,1.2,0.25,5,automatic,nn,nn
2021-11-25T12:52:31.474Z,38.1398,-117.971,11.6,1,ml,8,135.75,0.067,0.0465,nn,nn00828800,2021-11-25T12:56:40.910Z,"30 km SSE of Mina, Nevada",earthquake,,1.2,0.19,4,automatic,nn,nn
2021-11-25T12:50:26.349Z,38.1402,-117.9704,11.8,0.8,ml,8,135.08,0.067,0.0276,nn,nn00828799,2021-11-25T12:54:51.797Z,"30 km SSE of Mina, Nevada",earthquake,,1.2,0.31,5,automatic,nn,nn
2021-11-25T12:48:32.034Z,62.3575,-148.7193,26.9,2,ml,,,,0.73,ak,ak021f4b8qkj,2021-11-25T12:59:52.086Z,"62 km ENE of Susitna North, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-11-25T12:47:07.353Z,65.4452,-153.1165,13.3,1.9,ml,,,,1.75,ak,ak021f4b8gyy,2021-11-25T12:59:52.232Z,"57 km WNW of Tanana, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-11-25T12:33:31.100Z,35.72,-117.5493333,8.76,0.72,ml,10,153,0.1033,0.15,ci,ci39870223,2021-11-25T12:36:59.170Z,"14km WSW of Searles Valley, CA",earthquake,0.52,1.66,0.08,8,automatic,ci,ci
